id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3910028,19047966,"92 Wood Avens, Clondalkin, Clondalkin, Dublin 22",265000.0,85,85 m²,3,1,Terrace,2022-08-09,E1,,,53.337426,-6.402433,Buy,CLONDALKIN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-92-wood-avens-clondalkin-clondalkin-dublin-22/3910028
3896053,18913178,"31 Riversdale Road, Clondalkin, Dublin 22",369000.0,108,108 m²,3,2,Semi-D,2022-08-10,D2,106556087,269.73 kWh/m2/yr,53.326523,-6.391244,Buy,CLONDALKIN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-31-riversdale-road-clondalkin-dublin-22/3896053
3819763,18813327,"75 Cedar Brook Way, Cherry Orchard, Dublin 22",225000.0,75,75 m²,2,2,End of Terrace,2022-08-09,D1,,,53.336272,-6.379118,Buy,CLONDALKIN_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-75-cedar-brook-way-cherry-orchard-dublin-22/3819763
3818383,18802260,"21 Westbourne Close, Clondalkin, Clondalkin, Dublin 22",295000.0,85,85 m²,3,1,Semi-D,2022-08-10,C3,,,53.322126,-6.420752,Buy,CLONDALKIN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-21-westbourne-close-clondalkin-clondalkin-dublin-22/3818383
3817059,18791535,"10 Kilcarberry Close, Clondalkin, Clondalkin, Dublin 22",295000.0,N/A,,3,2,Semi-D,2022-06-08,C2,,,53.318048,-6.416335,Buy,CLONDALKIN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-10-kilcarberry-close-clondalkin-clondalkin-dublin-22/3817059
3815022,18771179,"157 Saint John's Crescent, Clondalkin, Clondalkin, Dublin 22",270000.0,60,60 m²,2,1,Terrace,2022-08-10,E2,,,53.315497,-6.406553,Buy,CLONDALKIN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-157-saint-johns-crescent-clondalkin-clondalkin-dublin-22/3815022
3814749,18769051,"42 Saint John's Wood, Clondalkin, Clondalkin, Dublin 22",365000.0,93,93 m²,3,1,Semi-D,2022-08-10,G,,,53.318712,-6.401377,Buy,CLONDALKIN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-42-saint-johns-wood-clondalkin-clondalkin-dublin-22/3814749
3805845,18698503,"63 New Road, Clondalkin, Clondalkin, Dublin 22",595000.0,92,92 m²,2,1,Semi-D,2022-08-09,G,,,53.317216,-6.391213,Buy,CLONDALKIN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-63-new-road-clondalkin-clondalkin-dublin-22/3805845
3804387,18684408,"18 Laurel Park, Clondalkin, Clondalkin, Dublin 22",410000.0,N/A,,3,2,Semi-D,2022-08-08,G,,,53.320486,-6.39288,Buy,CLONDALKIN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-18-laurel-park-clondalkin-clondalkin-dublin-22/3804387
3793342,18590430,"47 Moorfield Drive, Clondalkin, Dublin 22",270000.0,N/A,,3,1,End of Terrace,2022-08-10,E1,,,53.334675,-6.399806,Buy,CLONDALKIN_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-47-moorfield-drive-clondalkin-dublin-22/3793342
3788803,18556704,"9 Grange View Way, Clondalkin, Clondalkin, Dublin 22",275000.0,74,74 m²,3,2,End of Terrace,2022-07-18,C3,,,53.324957,-6.430765,Buy,CLONDALKIN_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-9-grange-view-way-clondalkin-clondalkin-dublin-22/3788803
3789346,18562211,"Bedlesshill House, Clondalkin, Dublin 22",850000.0,220,220 m²,9,9,Detached,2022-08-08,SI_666,,,53.308957,-6.404587,Buy,CLONDALKIN_DUBLIN,http://www.daft.ie/for-sale/detached-house-bedlesshill-house-clondalkin-dublin-22/3789346
3784839,18518796,"29 Riverside, Watery Lane, Clondalkin, Dublin 22",275000.0,62,62 m²,2,1,End of Terrace,2022-08-09,E1,,,53.324753,-6.391747,Buy,CLONDALKIN_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-29-riverside-watery-lane-clondalkin-dublin-22/3784839
3781447,18488351,"12 Monastery Gate avenue, Clondalkin, Dublin 22",299000.0,91,91 m²,3,2,Terrace,2022-06-25,C3,,,53.3191672,-6.3758555,Buy,CLONDALKIN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-12-monastery-gate-avenue-clondalkin-dublin-22/3781447
3749795,18233336,"2 Hazelwood Close, Clondalkin, Clondalkin, Dublin 22",385000.0,84,84 m²,3,2,Semi-D,2022-08-10,D2,,,53.311469,-6.403957,Buy,CLONDALKIN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-2-hazelwood-close-clondalkin-clondalkin-dublin-22/3749795
3747576,18214577,"62 Monastery Rise, Clondalkin, Clondalkin, Dublin 22",349000.0,N/A,,3,1,Detached,2022-03-22,F,,,53.319555,-6.386859,Buy,CLONDALKIN_DUBLIN,http://www.daft.ie/for-sale/detached-house-62-monastery-rise-clondalkin-clondalkin-dublin-22/3747576
3746353,18199627,"15 Moyle Crescent, Clondalkin, Clondalkin, Dublin 22",399000.0,97,97 m²,3,1,Semi-D,2022-08-10,E2,114697113,366.13 kWh/m2/yr,53.319395,-6.393646,Buy,CLONDALKIN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-15-moyle-crescent-clondalkin-clondalkin-dublin-22/3746353
3739056,18135087,"8 Deansrath Green, Clondalkin, Dublin 22",269000.0,108,108 m²,3,1,Semi-D,2022-04-11,D1,,,53.327089,-6.421806,Buy,CLONDALKIN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-8-deansrath-green-clondalkin-dublin-22/3739056
3737942,18123973,"45 Monastery Rise, Clondalkin, Clondalkin, Dublin 22",405000.0,N/A,,4,1,Detached,2022-03-22,F,,,53.319515,-6.38742,Buy,CLONDALKIN_DUBLIN,http://www.daft.ie/for-sale/detached-house-45-monastery-rise-clondalkin-clondalkin-dublin-22/3737942
3729850,18035544,"16 Riversdale Crescent, Clondalkin, Clondalkin, Dublin 22",380000.0,124,124 m²,3,2,Semi-D,2022-08-10,C1,109263491,65.32 kWh/m2/yr,53.3261,-6.38899,Buy,CLONDALKIN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-16-riversdale-crescent-clondalkin-clondalkin-dublin-22/3729850
3728959,18026208,"31 Michael Collins Park, Clondalkin, Clondalkin, Dublin 22",285000.0,N/A,,3,2,Terrace,2022-02-23,SI_666,,,53.327618,-6.398045,Buy,CLONDALKIN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-31-michael-collins-park-clondalkin-clondalkin-dublin-22/3728959
3702296,17816867,"27 Neilstown Park, Clondalkin, Clondalkin, Dublin 22",275000.0,N/A,,3,1,Semi-D,2022-03-24,D2,,,53.337479,-6.395749,Buy,CLONDALKIN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-27-neilstown-park-clondalkin-clondalkin-dublin-22/3702296
3678857,17619164,"5 Bettysford Terrace, Monastery Road, Clondalkin, Dublin 22",450000.0,128,128 m²,3,1,Semi-D,2022-08-10,E2,114524036,78.55 kWh/m2/yr,53.3211372,-6.3925455,Buy,CLONDALKIN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-5-bettysford-terrace-monastery-road-clondalkin-dublin-22/3678857
3675944,17587625,"11 Yellow Meadows Grove, Clondalkin, Dublin 22",300000.0,N/A,,3,2,Semi-D,2022-08-10,E1,,,53.327318,-6.400601,Buy,CLONDALKIN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-11-yellow-meadows-grove-clondalkin-dublin-22/3675944
3656151,17363715,"4 Weaver Court, Clondalkin, Clondalkin, Dublin 22",210000.0,N/A,,2,2,Terrace,2022-07-22,C2,,,53.345912,-6.399289,Buy,CLONDALKIN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-4-weaver-court-clondalkin-clondalkin-dublin-22/3656151
