id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3806935,18710933,"Oakley Manor, 46 Oakley Road, Ranelagh, Dublin 6",2200000.0,250,250 m²,5,2,Detached,2022-08-10,,,,53.323702,-6.256045,Buy,RATHMINES_DUBLIN,http://www.daft.ie/for-sale/detached-house-oakley-manor-46-oakley-road-ranelagh-dublin-6/3806935
3805133,18690195,"55 Palmerston Road, Rathmines, Dublin 6",2475000.0,300,300 m²,4,4,Terrace,2022-08-10,,,,53.317257,-6.258445,Buy,RATHMINES_DUBLIN,http://www.daft.ie/for-sale/terraced-house-55-palmerston-road-rathmines-dublin-6/3805133
3779654,18472457,"170 Rathmines Road Lower, Rathmines, Dublin 6",950000.0,278,278 m²,2,1,Terrace,2022-08-09,SI_666,,,53.324792,-6.264877,Buy,RATHMINES_DUBLIN,http://www.daft.ie/for-sale/terraced-house-170-rathmines-road-lower-rathmines-dublin-6/3779654
3771714,18395179,"80 Rathmines Road Upper, Rathmines, Dublin 6",795000.0,133,133 m²,5,3,Terrace,2022-08-10,F,114762388,420.27 kWh/m2/yr,53.319106,-6.264266,Buy,RATHMINES_DUBLIN,http://www.daft.ie/for-sale/terraced-house-80-rathmines-road-upper-rathmines-dublin-6/3771714
3747991,18220198,"Norwood, 44 Cowper Road, Rathmines, Dublin 6",4450000.0,336,336 m²,5,3,Detached,2022-08-10,G,112928700,482.15 kWh/m2/yr,53.315959,-6.256057,Buy,RATHMINES_DUBLIN,http://www.daft.ie/for-sale/detached-house-norwood-44-cowper-road-rathmines-dublin-6/3747991
3730789,18046980,"39A Richmond Hill, Rathmines, Dublin 6",800000.0,136,136 m²,6,6,Semi-D,2022-08-09,G,111421681,469.66 kWh/m2/yr,53.327198,-6.264412,Buy,RATHMINES_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-39a-richmond-hill-rathmines-dublin-6/3730789
3908048,19029040,"3 Le Bas Mews, Effra Road, Rathmines, Dublin 6",825000.0,104,104 m²,3,3,Terrace,2022-08-10,A3,107874281,62.21 kWh/m2/yr,53.321254,-6.27487,Buy,RATHMINES_DUBLIN,http://www.daft.ie/for-sale/terraced-house-3-le-bas-mews-effra-road-rathmines-dublin-6/3908048
3907538,19024485,"10 Kenilworth Lane, Rathmines, Dublin 6",620000.0,80,80 m²,2,2,Semi-D,2022-08-10,C1,114856503,166.26 kWh/m2/yr,53.319767,-6.276362,Buy,RATHMINES_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-10-kenilworth-lane-rathmines-dublin-6/3907538
3907435,19024422,"10 Charleston Avenue, Ranelagh, Ranelagh, Dublin 6",1250000.0,169,169 m²,3,3,Semi-D,2022-05-25,SI_666,,,53.322706,-6.258315,Buy,RATHMINES_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-10-charleston-avenue-ranelagh-ranelagh-dublin-6/3907435
3802712,18668672,"8 Saint Kevin's Gardens, Dartry, Dartry, Dublin 6",1150000.0,140,140 m²,4,2,Semi-D,2022-08-09,D2,115160400,50.44 kWh/m2/yr,53.309819,-6.26399,Buy,RATHMINES_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-8-saint-kevins-gardens-dartry-dartry-dublin-6/3802712
3901844,18973229,"20 Grosvenor Place, Rathmines, Rathmines, Dublin 6",1250000.0,188,188 m²,6,3,Terrace,2022-05-20,G,114830656,583.22 kWh/m2/yr,53.320977,-6.272406,Buy,RATHMINES_DUBLIN,http://www.daft.ie/for-sale/terraced-house-20-grosvenor-place-rathmines-rathmines-dublin-6/3901844
3899453,18948505,"31 Belgrave Road, Rathmines, Dublin 6",1550000.0,215,215 m²,4,4,Terrace,2022-08-10,,,,53.320985,-6.259766,Buy,RATHMINES_DUBLIN,http://www.daft.ie/for-sale/terraced-house-31-belgrave-road-rathmines-dublin-6/3899453
3568883,16427881,"Fairfield Villa, Fairfield Villa, 20 Fairfield Park, D06YH51, Rathgar, Dublin 6",1795000.0,315,315 m²,5,5,Semi-D,2022-08-10,D1,112503032,258.21 kWh/m2/yr,53.313131,-6.270691,Buy,RATHMINES_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-fairfield-villa-fairfield-villa-20-fairfield-park-d06yh51-rathgar-dublin-6/3568883
3891772,18878519,"21 Harold's Cross Road, Harold's Cross, Dublin 6",445000.0,65,65 m²,3,1,Semi-D,2022-08-04,E2,114551500,346.85 kWh/m2/yr,53.328789,-6.275922,Buy,RATHMINES_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-21-harolds-cross-road-harolds-cross-dublin-6/3891772
3822325,18838215,"1 & 2 Graceland, St. Kevin's Gardens, Dartry, Dublin 6",1500000.0,135,135 m²,5,2,Detached,2022-08-10,E2,,,53.309778,-6.262891,Buy,RATHMINES_DUBLIN,http://www.daft.ie/for-sale/detached-house-1-2-graceland-st-kevins-gardens-dartry-dublin-6/3822325
3525828,16125522,"Highfield Lodge, 38 Highfield Road, Rathgar, Dublin 6",1475000.0,186,186 m²,4,2,Detached,2022-04-29,D2,111981403,,53.312021,-6.272535,Buy,RATHMINES_DUBLIN,http://www.daft.ie/for-sale/detached-house-highfield-lodge-38-highfield-road-rathgar-dublin-6/3525828
3806935,18710933,"Oakley Manor, 46 Oakley Road, Ranelagh, Dublin 6",2200000.0,250,250 m²,5,2,Detached,2022-08-10,,,,53.323702,-6.256045,Buy,RATHMINES_DUBLIN,http://www.daft.ie/for-sale/detached-house-oakley-manor-46-oakley-road-ranelagh-dublin-6/3806935
3805133,18690195,"55 Palmerston Road, Rathmines, Dublin 6",2475000.0,300,300 m²,4,4,Terrace,2022-08-10,,,,53.317257,-6.258445,Buy,RATHMINES_DUBLIN,http://www.daft.ie/for-sale/terraced-house-55-palmerston-road-rathmines-dublin-6/3805133
3779654,18472457,"170 Rathmines Road Lower, Rathmines, Dublin 6",950000.0,278,278 m²,2,1,Terrace,2022-08-09,SI_666,,,53.324792,-6.264877,Buy,RATHMINES_DUBLIN,http://www.daft.ie/for-sale/terraced-house-170-rathmines-road-lower-rathmines-dublin-6/3779654
3771714,18395179,"80 Rathmines Road Upper, Rathmines, Dublin 6",795000.0,133,133 m²,5,3,Terrace,2022-08-10,F,114762388,420.27 kWh/m2/yr,53.319106,-6.264266,Buy,RATHMINES_DUBLIN,http://www.daft.ie/for-sale/terraced-house-80-rathmines-road-upper-rathmines-dublin-6/3771714
3747991,18220198,"Norwood, 44 Cowper Road, Rathmines, Dublin 6",4450000.0,336,336 m²,5,3,Detached,2022-08-10,G,112928700,482.15 kWh/m2/yr,53.315959,-6.256057,Buy,RATHMINES_DUBLIN,http://www.daft.ie/for-sale/detached-house-norwood-44-cowper-road-rathmines-dublin-6/3747991
3730789,18046980,"39A Richmond Hill, Rathmines, Dublin 6",800000.0,136,136 m²,6,6,Semi-D,2022-08-09,G,111421681,469.66 kWh/m2/yr,53.327198,-6.264412,Buy,RATHMINES_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-39a-richmond-hill-rathmines-dublin-6/3730789
