id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3921164,19147486,"5 Saint Mary's Terrace, Tuam, Co. Galway",235000.0,102,102 m²,3,2,Terrace,2022-06-10,D1,145214788,,53.514237,-8.853896,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/terraced-house-5-saint-marys-terrace-tuam-co-galway/3921164
3909494,19042191,"Oakwood North, Abbeyknockmoy, Co. Galway",125000.0,N/A,,4,1,Detached,2022-05-26,G,,,53.420009,-8.733553,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-oakwood-north-abbeyknockmoy-co-galway/3909494
3909067,19038311,"Curraghan, Tuam, Co. Galway",Price on Application,N/A,,3,1,Detached,2022-08-10,SI_666,,,53.560655,-8.865289,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-curraghan-tuam-co-galway/3909067
3906477,19018923,"Ballygaddy Road, Tuam, Co. Galway",200000.0,91,91 m²,3,2,End of Terrace,2022-08-10,E2,106730161,369.16 kWh/m2/yr,53.51682,-8.85413,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/end-of-terrace-house-ballygaddy-road-tuam-co-galway/3906477
3903717,18989604,"Blackberry Lodge, Fearragha, Belclare, Co. Galway",495000.0,N/A,,2,2,Detached,2022-08-10,D1,,,53.462946,-9.000306,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-blackberry-lodge-fearragha-belclare-co-galway/3903717
3901065,18965740,"Kilbannon, Tuam, Co. Galway",195000.0,100,100 m²,4,1,Detached,2022-05-20,E1,114884455,322.45 kWh/m2/yr,53.548355,-8.898794,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-kilbannon-tuam-co-galway/3901065
3892279,18882777,"37 Millstream Park, Weir Road, Tuam, Co. Galway",235000.0,139,139 m²,4,2,Semi-D,2022-08-10,G,114872336,,53.513281,-8.859596,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/semi-detached-house-37-millstream-park-weir-road-tuam-co-galway/3892279
3891425,18874200,"Pollaturick, Milltown, Co. Galway",165000.0,N/A,,4,2,Detached,2022-08-10,F,,,53.616963,-8.918386,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-pollaturick-milltown-co-galway/3891425
3890588,18866134,"111 Cois Na H-Abhainn, Ballygaddy Road, Tuam, Co. Galway",265000.0,149,149 m²,4,3,Detached,2022-08-10,C1,114336472,172.03 kWh/m2/yr,53.518246,-8.859537,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-111-cois-na-h-abhainn-ballygaddy-road-tuam-co-galway/3890588
3890350,18863810,"Corofin, Tuam, Co. Galway",290000.0,N/A,,4,1,Detached,2022-05-12,G,112538053,450.08 kWh/m2/yr,53.437793,-8.860256,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-corofin-tuam-co-galway/3890350
3823785,18851159,"Corofin, Tuam, Co. Galway",290000.0,N/A,,4,,Detached,2022-07-27,G,112538053,450.08 kWh/m2/yr,53.437793,-8.860256,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-corofin-tuam-co-galway/3823785
3821324,18828792,"262 Palace Fields, Tuam, Co. Galway",295000.0,148,148 m²,4,3,Semi-D,2022-08-10,C2,114840861,197.05 kWh/m2/yr,53.52212379,-8.84869165,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/semi-detached-house-262-palace-fields-tuam-co-galway/3821324
3820473,18820222,"Tullinadaly Road, Tuam, Co. Galway",495000.0,214,214 m²,6,4,Detached,2022-08-10,C3,113531115,208.35 kWh/m2/yr,53.521016,-8.852984,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-tullinadaly-road-tuam-co-galway/3820473
3819196,18809085,"168 Palace Fields, Tuam, Co. Galway",275000.0,121,121 m²,4,3,Semi-D,2022-06-10,C2,256478963,1.3 kWh/m2/yr,53.524002,-8.846274,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/semi-detached-house-168-palace-fields-tuam-co-galway/3819196
3817041,18791524,"Carrowpeter, Dublin Road, Tuam, Co. Galway",275000.0,152,152 m²,4,3,Detached,2022-06-29,C1,,,53.505974,-8.836915,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-carrowpeter-dublin-road-tuam-co-galway/3817041
3806050,18701624,"131 Cois Na H-Abhainn, Ballygaddy Road, Tuam, Co. Galway",210000.0,121,121 m²,4,3,Semi-D,2022-08-10,C2,114336456,198.18 kWh/m2/yr,53.517047,-8.860409,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/semi-detached-house-131-cois-na-h-abhainn-ballygaddy-road-tuam-co-galway/3806050
3801778,18659150,"19 Millbrook, Tuam, Co. Galway",199000.0,112,112 m²,3,2,End of Terrace,2022-06-10,C3,101155877,220.62 kWh/m2/yr,53.61499,-8.899775,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/end-of-terrace-house-19-millbrook-tuam-co-galway/3801778
3799107,18638057,"74 Palace Fields, Tuam, Co. Galway",275000.0,137,137 m²,4,2,Semi-D,2022-04-22,C2,114820061,187.07 kWh/m2/yr,53.524119,-8.848477,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/semi-detached-house-74-palace-fields-tuam-co-galway/3799107
3792311,18582965,"1 Liam Mellows Street, Tuam, Co. Galway",165000.0,87,87 m²,2,2,Terrace,2022-06-10,E2,125687454,340.0 kWh/m2/yr,53.510856,-8.855101,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/terraced-house-1-liam-mellows-street-tuam-co-galway/3792311
3788306,18552681,"42 Tír An Chóir, Tuam, Co. Galway",210000.0,94,94 m²,3,3,Semi-D,2022-08-10,C2,114794852,178.92 kWh/m2/yr,53.508307,-8.852998,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/semi-detached-house-42-t-r-an-ch-ir-tuam-co-galway/3788306
3781391,18487198,"21 Black Acre, Tuam, Co. Galway",225000.0,135,135 m²,4,2,Semi-D,2022-04-08,D1,113672612,236.35 kWh/m2/yr,53.523895,-8.854064,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/semi-detached-house-21-black-acre-tuam-co-galway/3781391
3759469,18304917,"VALENTINE'S BARBER SHOP, Dublin Road, Tuam, Co. Galway",175000.0,137,137 m²,4,2,Townhouse,2022-08-09,G,113760979,942.91 kWh/m2/yr,53.51385,-8.849963,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/townhouse-valentines-barber-shop-dublin-road-tuam-co-galway/3759469
3762022,18323890,"Corbally, Tuam, Co. Galway",295000.0,275,275 m²,5,1,Detached,2022-08-08,SI_666,,,53.406028,-8.886175,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-corbally-tuam-co-galway/3762022
3759684,18305990,"Tobberjarlath Road, Tuam, Co. Galway",70000.0,88,88 m²,3,1,Semi-D,2022-08-10,G,114663651,587.49 kWh/m2/yr,53.50835684164372,-8.842103292872139,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/semi-detached-house-tobberjarlath-road-tuam-co-galway/3759684
3757380,18290333,"Fortbrown, Lavally, Tuam, Co. Galway",135000.0,98,98 m²,3,1,Detached,2022-08-10,G,111434940,748.35 kWh/m2/yr,53.536912,-8.663526,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-fortbrown-lavally-tuam-co-galway/3757380
3739674,18139527,"1 The Homestead, Sun Street, Tuam, Co. Galway",140000.0,159,159 m²,3,1,Terrace,2022-03-04,G,111916375,463.24 kWh/m2/yr,53.518452,-8.843391,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/terraced-house-1-the-homestead-sun-street-tuam-co-galway/3739674
3469147,15701690,"Millburn House, Ardour, Tuam, Co. Galway",1500000.0,269,269 m²,4,4,Detached,2022-07-25,C2,114155294,196.95 kWh/m2/yr,53.573338,-9.018904,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-millburn-house-ardour-tuam-co-galway/3469147
3713830,17893775,"13 McHale Terrace, Ballygaddy Road, Tuam, Co. Galway",150000.0,80,80 m²,3,1,Terrace,2022-02-11,C3,112675079,218.07 kWh/m2/yr,53.519219,-8.856905,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/terraced-house-13-mchale-terrace-ballygaddy-road-tuam-co-galway/3713830
3692089,17726896,"Beagh More, Belclare, Belclare, Co. Galway",250000.0,130,130 m²,4,3,Detached,2022-07-30,C3,102329158,223.99 kWh/m2/yr,53.512108,-9.002514,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-beagh-more-belclare-belclare-co-galway/3692089
3679353,17622818,"Mountain View, Lissaleen, Kilconly, Co. Galway",Price on Application,332,332 m²,5,4,Detached,2022-06-10,B3,421697454,124.0 kWh/m2/yr,53.584423,-8.940847,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-mountain-view-lissaleen-kilconly-co-galway/3679353
3643880,17189866,"Ballinderry Castle, Ballinderry North, Tuam, Co. Galway",450000.0,N/A,,4,1,Detached,2022-08-10,SI_666,,,53.463341,-8.835443,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-ballinderry-castle-ballinderry-north-tuam-co-galway/3643880
3603674,16819353,"Ballina, Ballyglunin, Tuam, Co. Galway",160000.0,80,80 m²,3,1,Detached,2022-08-10,G,103172094,472.87 kWh/m2/yr,53.451421,-8.783487,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-ballina-ballyglunin-tuam-co-galway/3603674
3578187,16540611,"Caherhugh, Belclare, Tuam, Co. Galway",200000.0,100,100 m²,4,1,Detached,2021-10-22,G,105079412,475.51 kWh/m2/yr,53.481243,-8.919263,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-caherhugh-belclare-tuam-co-galway/3578187
3573016,16481569,"Cortonrue, Tuam, Co. Galway",150000.0,168,168 m²,4,3,Detached,2022-08-10,C2,,,53.519245283860755,-8.793321425893339,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-cortonrue-tuam-co-galway/3573016
3466952,15681412,"7 Clochran, Kilcloghans, Tuam, Co. Galway",200000.0,180,180 m²,4,3,Detached,2022-08-10,A3,114145576,56.23 kWh/m2/yr,53.531392,-8.855082,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-7-clochran-kilcloghans-tuam-co-galway/3466952
3264592,15093481,"Rusheens, Corofin, Co. Galway",Price on Application,189,189 m²,4,3,Detached,2022-08-10,SI_666,,,53.438379383494436,-8.859347227410467,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-rusheens-corofin-co-galway/3264592
2922859,13856513,"Gardenfield GY49460f, Tuam, Co. Galway",395000.0,N/A,,,,Detached,2022-08-10,,,,53.551693,-8.877856,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-gardenfield-gy49460f-tuam-co-galway/2922859
213170,11963111,"Sunset Lodge, Fortyacres, Tuam, Co. Galway",275000.0,180,180 m²,4,2,Detached,2022-06-01,C2,,,53.471847,-8.712549,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-sunset-lodge-fortyacres-tuam-co-galway/213170
1476579,12364759,"Mossfort, Belclare, Tuam, Co. Galway",160000.0,203,203 m²,4,3,Detached,2022-08-10,,,,53.508787,-8.988679,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-mossfort-belclare-tuam-co-galway/1476579
1476577,12364758,"Mossfort, Belclare, Tuam, Co. Galway",155000.0,212,212 m²,4,3,Detached,2022-08-10,C2,,,53.508787,-8.988679,Buy,TUAM_AND_SURROUNDS_GALWAY,http://www.daft.ie/for-sale/detached-house-mossfort-belclare-tuam-co-galway/1476577
